source_id,target_id
616206143,616224988
616206149,616810995
616206215,621960147
616206311,616223567
616206452,617078388
616206467,616224547
616206614,616224313
616206656,616500983
616206769,617712875
616207376,618469145
616211257,617764330
616211792,619513437
616212358,616235260
616212964,616225051
616215005,616223195
616215454,616853412
616217345,616301001
616217624,616901659
616217972,616891841
616218488,617557497
616218557,620598613
616219076,617590863
616219802,616887730
616220519,617670195
616220743,616761571
616221926,616730427
616222118,618229129
616222720,616219507
616222720,616891841
616224374,616453934
616224676,616237669
616224700,619048475
616224959,616298784
616225373,617790932
616225900,617020884
616226519,616225051
616227469,617557216
616227574,716470938
616227895,616709340
616227982,709542337
616228657,617670195
616229068,617110506
616229482,616305396
616230529,617071743
616231375,616989279
616231565,616226180
616231585,618500176
616263295,616977639
616284570,616648771
616285149,618886449
616285401,616394546
616287345,616331366
616287579,616220423
616296954,616215784
616298625,617477009
616298784,616298907
616298907,713127517
616299144,617078388
616299315,617617075
616299576,619165723
616299699,616300842
616300029,617269412
616300071,616216289
616300113,617306425
616300671,621316184
616301619,617055658
616302333,616349387
616302333,617564443
616302336,616223734
616304430,617544722
616304430,617712875
616304430,618393696
616304544,619468845
616308033,618514755
616310931,616304159
616311015,616621744
616311015,616964543
616311330,616807239
616312341,617764330
616322025,616215454
616401471,616300803
616448213,616349387
616450260,617596453
616544478,616218317
616550352,620250979
616553484,620598613
616572184,620840216
616616287,616263058
616634356,617462256
616709340,617788541
616761571,616450851
616764807,616303560
616772277,616221404
616772277,616945290
616791162,617617075
616805636,619369704
616853863,616220864
616853863,616597381
616882733,617342164
616897643,616635449
616901659,620598613
616904387,619338696
616964543,616232503
616964543,618277797
616971945,620474586
616980013,616791834
617047718,616684545
617078388,616287621
617078388,617128626
617078388,620832986
617130613,618211732
617203363,617778071
617203363,618461223
617245921,616226258
617247139,616284135
617276858,616222051
617293369,616881617
617311261,619422439
617343116,617694691
617390783,617311634
617448956,616228258
617450488,616441910
617471280,619653817
617490522,616313064
617629294,616218488
617629294,616560235
617638457,616223419
617692004,617736616
617695084,617680640
617712875,616627945
617715995,616301301
617716439,616225900
617801213,616217939
617824831,618208393
617830441,622111989
617837077,617622359
617916495,617670195
618205912,616219790
618205912,617073588
618262473,618886449
618500176,616210015
618758991,617445392
618844802,616424372
619266193,616231544
619266193,616302336
619338696,616234909
619466144,619613905
619912196,616934154
620156433,616302444
620250979,616854398
620250979,618945206
620259574,618575022
620896239,709010197
621554804,616227617
622286034,619308922
708730298,616905825
714583566,616218488
1218232802,619266193
