*Vertices 5301
3610511 "E13_real"
5656162 "E13_real"
5682702 "E13_real"
6067292 "E13_real"
6015122 "E13_real"
6140012 "E13_real"
6134312 "E13_real"
6684602 "E13_real"
7046912 "E13_real"
7470952 "E13_real"
8072492 "E13_real"
8291932 "E13_real"
8858022 "E13_real"
8927532 "E13_real"
8933252 "E13_real"
9351052 "E13_real"
9564632 "E13_real"
9939012 "E13_real"
9993142 "E13_real"
10492262 "E13_real"
11176152 "E13_real"
13260592 "E13_real"
14057516 "E13_real"
14112759 "E13_real"
14492555 "E13_real"
14709812 "E13_real"
14865840 "E13_real"
14958182 "E13_real"
15016610 "E13_real"
15271419 "E13_real"
15391421 "E13_real"
15836275 "E13_real"
15873303 "E13_real"
16093829 "E13_real"
16591972 "E13_real"
16927266 "E13_real"
17654864 "E13_real"
17852114 "E13_real"
18173213 "E13_real"
18527544 "E13_real"
18671285 "E13_real"
18735790 "E13_real"
18800245 "E13_real"
19598248 "E13_real"
21102000 "E13_real"
21770069 "E13_real"
22015750 "E13_real"
22136015 "E13_real"
22203964 "E13_real"
22508731 "E13_real"
22627606 "E13_real"
22985259 "E13_real"
23748269 "E13_real"
23847948 "E13_real"
24352106 "E13_real"
24510304 "E13_real"
25442408 "E13_real"
25911628 "E13_real"
26232444 "E13_real"
26771352 "E13_real"
27241975 "E13_real"
27422705 "E13_real"
27636956 "E13_real"
27887098 "E13_real"
28313453 "E13_real"
28342883 "E13_real"
28363979 "E13_real"
28845598 "E13_real"
29500667 "E13_real"
29510629 "E13_real"
29646177 "E13_real"
30062603 "E13_real"
31102741 "E13_real"
31162918 "E13_real"
32025215 "E13_real"
32130104 "E13_real"
32204918 "E13_real"
33950570 "E13_real"
34355343 "E13_real"
34897604 "E13_real"
35737313 "E13_real"
36190135 "E13_real"
36381609 "E13_real"
36727238 "E13_real"
37539436 "E13_real"
37733715 "E13_real"
37889070 "E13_real"
37922072 "E13_real"
38002859 "E13_real"
38223194 "E13_real"
38730407 "E13_real"
38972677 "E13_real"
39721490 "E13_real"
39748948 "E13_real"
41780152 "E13_real"
41785738 "E13_real"
42676920 "E13_real"
42754744 "E13_real"
43069058 "E13_real"
43870029 "E13_real"
43964510 "E13_real"
44042861 "E13_real"
44335261 "E13_real"
44451302 "E13_real"
45100798 "E13_real"
45307775 "E13_real"
45529357 "E13_real"
45778279 "E13_real"
46137662 "E13_real"
46334699 "E13_real"
47612213 "E13_real"
48034707 "E13_real"
48182327 "E13_real"
48652450 "E13_real"
48989220 "E13_real"
49044510 "E13_real"
49319803 "E13_real"
49341424 "E13_real"
49934607 "E13_real"
49977491 "E13_real"
50571065 "E13_real"
50585331 "E13_real"
50589337 "E13_real"
50598277 "E13_real"
50619779 "E13_real"
50972738 "E13_real"
51005435 "E13_real"
51015996 "E13_real"
51037293 "E13_real"
51150318 "E13_real"
51738765 "E13_real"
51780170 "E13_real"
52157135 "E13_real"
53025684 "E13_real"
53027768 "E13_real"
53621838 "E13_real"
54556442 "E13_real"
54691030 "E13_real"
54864334 "E13_real"
54867711 "E13_real"
54911584 "E13_real"
55550359 "E13_real"
55590832 "E13_real"
55819049 "E13_real"
56326516 "E13_real"
56345134 "E13_real"
56466070 "E13_real"
56662794 "E13_real"
56706947 "E13_real"
56966762 "E13_real"
57365720 "E13_real"
57928664 "E13_real"
59083826 "E13_real"
59402800 "E13_real"
60508255 "E13_real"
61198155 "E13_real"
61452320 "E13_real"
61513445 "E13_real"
61794519 "E13_real"
62017536 "E13_real"
62364690 "E13_real"
63517006 "E13_real"
63822625 "E13_real"
64967572 "E13_real"
66092090 "E13_real"
67002064 "E13_real"
67006908 "E13_real"
69654626 "E13_real"
69843045 "E13_real"
69892452 "E13_real"
70735118 "E13_real"
71295474 "E13_real"
71336448 "E13_real"
71366031 "E13_real"
71495570 "E13_real"
71522541 "E13_real"
71582266 "E13_real"
72149178 "E13_real"
72314987 "E13_real"
72816504 "E13_real"
72890647 "E13_real"
72967193 "E13_real"
73627373 "E13_real"
73799359 "E13_real"
74147053 "E13_real"
74156552 "E13_real"
74486653 "E13_real"
74544145 "E13_real"
75270480 "E13_real"
75320990 "E13_real"
75386921 "E13_real"
75522479 "E13_real"
75777355 "E13_real"
76286424 "E13_real"
76982240 "E13_real"
77165019 "E13_real"
77243029 "E13_real"
77528520 "E13_real"
78116487 "E13_real"
78719596 "E13_real"
80000814 "E13_real"
81056258 "E13_real"
81218261 "E13_real"
81239268 "E13_real"
81352611 "E13_real"
81592426 "E13_real"
81680710 "E13_real"
81915249 "E13_real"
82068999 "E13_real"
82324675 "E13_real"
82837121 "E13_real"
83087554 "E13_real"
83236897 "E13_real"
83338869 "E13_real"
83581269 "E13_real"
84114885 "E13_real"
84214494 "E13_real"
84426046 "E13_real"
84561646 "E13_real"
84596057 "E13_real"
85184915 "E13_real"
85305729 "E13_real"
85391583 "E13_real"
85637186 "E13_real"
85668015 "E13_real"
85866409 "E13_real"
86036102 "E13_real"
86353404 "E13_real"
86525417 "E13_real"
86561552 "E13_real"
86612717 "E13_real"
86741673 "E13_real"
86981924 "E13_real"
87654715 "E13_real"
88528666 "E13_real"
89237976 "E13_real"
89734891 "E13_real"
91303893 "E13_real"
92225723 "E13_real"
92403540 "E13_real"
93259719 "E13_real"
93648877 "E13_real"
94841494 "E13_real"
95008519 "E13_real"
95243555 "E13_real"
95452901 "E13_real"
96338067 "E13_real"
96586973 "E13_real"
98481107 "E13_real"
98913291 "E13_real"
100459808 "E13_real"
100996879 "E13_real"
101503282 "E13_real"
102422355 "E13_real"
102760709 "E13_real"
103055195 "E13_real"
103304208 "E13_real"
104235671 "E13_real"
104566770 "E13_real"
104754590 "E13_real"
104770020 "E13_real"
104775098 "E13_real"
104818930 "E13_real"
104897833 "E13_real"
105128951 "E13_real"
105429377 "E13_real"
105496654 "E13_real"
106456147 "E13_real"
107216254 "E13_real"
107421428 "E13_real"
107990833 "E13_real"
108148833 "E13_real"
108557681 "E13_real"
109079114 "E13_real"
110273768 "E13_real"
110439086 "E13_real"
110942781 "E13_real"
111354131 "E13_real"
111924058 "E13_real"
112745297 "E13_real"
113487244 "E13_real"
113746083 "E13_real"
114467204 "E13_real"
114541436 "E13_real"
115340992 "E13_real"
115349856 "E13_real"
115955798 "E13_real"
116190007 "E13_real"
116538160 "E13_real"
117463248 "E13_real"
117708359 "E13_real"
117755159 "E13_real"
118024286 "E13_real"
118339229 "E13_real"
118898139 "E13_real"
119065059 "E13_real"
123582130 "E13_real"
123912727 "E13_real"
