id,ff_ratio,no_tweets,profile_has_name,no_friends,no_followers,following_rate,belongs_to_list,location,has_bio,dataset,real
3610511,1.9674696798127385e-05,48028,1,379,4389,0.8494290690923166,0,1,1,E13_real,1
5656162,0.0019321338002656683,3225,1,400,455,0.08846976472875753,1,1,1,E13_real,1
5682702,0.0009123965167921211,4319,1,68,273,0.05309218203033839,1,1,1,E13_real,1
6067292,0.0013409260738488494,77245,1,1301,985,0.1921201482348352,1,0,1,E13_real,1
6015122,0.03951521272566595,2435,1,313,89,0.017352310391889256,1,1,0,E13_real,1
6140012,0.0010026348734969576,33586,1,1653,1284,0.25053658536585366,1,1,1,E13_real,1
6134312,0.0037341868617588782,1659,1,98,162,0.031609756097560976,1,1,1,E13_real,1
6684602,0.000850213144209257,24901,1,2374,1671,0.3274544385655497,0,0,1,E13_real,1
7046912,2.1696599041267945e-06,33726,1,1521,26477,5.203812893081761,1,1,1,E13_real,1
8072492,0.0019857744229931774,3605,1,342,415,0.08230860769535898,1,1,1,E13_real,1
8291932,0.0007548729524071166,41522,1,1830,1557,0.3094812164579606,1,1,1,E13_real,1
8858022,0.0008485688779597722,14037,1,1038,1106,0.22093487814622453,1,1,1,E13_real,1
8927532,0.01577344841006387,2482,1,689,209,0.04177493503897661,1,1,1,E13_real,1
9351052,0.013826027652055303,538,1,223,127,0.025502008032128515,1,0,1,E13_real,1
9564632,1.1900801317486128e-05,45648,1,1518,11294,2.272891929965788,1,1,1,E13_real,1
9939012,0.0020918516984973173,24667,1,1455,834,0.16831483350151363,1,1,1,E13_real,1
9993142,0.0022295559651659474,5552,1,808,602,0.1215424994952554,1,1,1,E13_real,1
10492262,0.0233,1262,1,233,100,0.02025931928687196,1,1,1,E13_real,1
11176152,0.026546938775510204,3222,1,813,175,0.03561253561253561,1,1,0,E13_real,1
13260592,0.0003230793953065068,32202,1,1721,2308,0.47509263071222724,1,1,1,E13_real,1
14057516,0.009348412170442211,3821,1,1068,338,0.06986357999173212,1,0,1,E13_real,1
14112759,0.0379866151380903,422,1,403,103,0.021333885666942835,1,0,0,E13_real,1
14492555,0.04696745562130177,372,1,127,52,0.010869565217391304,0,1,1,E13_real,1
14709812,0.0012430121757194773,12201,1,943,871,0.1826761744966443,1,1,1,E13_real,1
14865840,0.000770820902798687,9321,1,1257,1277,0.26855941114616194,1,1,1,E13_real,1
14958182,0.003753544558999492,2700,1,229,247,0.05204382638010956,1,1,1,E13_real,1
15016610,0.0043057460752934,9542,1,452,324,0.0683400126555579,1,1,1,E13_real,1
15391421,4.8242430669432364e-05,33134,1,2200,6753,1.4352816153028694,1,1,1,E13_real,1
15836275,0.04315120940498176,1511,1,958,149,0.031892123287671235,1,1,1,E13_real,1
16093829,1.3768363679096308e-05,24029,1,555,6349,1.3647893379191745,1,0,1,E13_real,1
17654864,0.02733991199965825,769,1,640,153,0.03350854139290407,0,1,1,E13_real,1
17852114,0.007488593533029161,729,1,151,142,0.0311471813994297,1,1,1,E13_real,1
18173213,0.005979861935540606,6269,1,952,399,0.08776946766388033,1,1,1,E13_real,1
18527544,0.001635368458526166,30225,1,294,424,0.09357757669388655,1,1,1,E13_real,1
18671285,0.002867853340685025,25601,1,827,537,0.11864781263809103,0,1,1,E13_real,1
18735790,0.005202140309155767,1345,1,280,232,0.05128205128205128,1,1,1,E13_real,1
18800245,0.009901581267601428,2430,1,995,317,0.07008622595622374,1,1,1,E13_real,1
19598248,0.0024386484275262937,11929,1,617,503,0.11165371809100999,0,1,1,E13_real,1
21102000,0.00026036032560472207,155697,1,4218,4025,0.8978362703546732,1,1,1,E13_real,1
21770069,1.0742061616465432e-05,265,1,153,3774,0.8431635388739946,1,0,0,E13_real,1
22015750,0.0004786021817630868,5687,1,4852,3184,0.7115083798882682,1,0,1,E13_real,1
22136015,0.00836805433983404,5485,1,239,169,0.037773804202056324,1,1,1,E13_real,1
22203964,2.5848694766314853e-05,20572,1,639,4972,1.1115582383188016,1,1,1,E13_real,1
22508731,0.021352985638699924,838,1,339,126,0.028187919463087248,1,1,1,E13_real,1
22627606,0.03241830065359477,959,1,2108,255,0.05704697986577181,1,1,1,E13_real,1
23748269,0.015475389472594586,2794,1,299,139,0.03115194979829673,1,0,1,E13_real,1
24352106,0.007794953098163562,316,1,59,87,0.019511101143754206,1,0,1,E13_real,1
24510304,0.0012824272955736132,1343,1,223,417,0.09353970390309556,1,1,0,E13_real,1
25442408,0.0014054094690768152,2942,1,673,692,0.15540085335728723,1,0,1,E13_real,1
26771352,0.07674297606659729,359,1,295,62,0.013941983359568248,0,1,1,E13_real,1
27241975,0.004375956401514135,4557,1,163,193,0.04341957255343082,1,1,0,E13_real,1
27422705,0.01324128564961521,2828,1,468,188,0.0423042304230423,1,1,1,E13_real,1
27636956,0.0006006560335898574,4861,1,1230,1431,0.32207967589466574,1,1,1,E13_real,1
27887098,0.015724361197826338,1262,1,136,93,0.020936515083295814,1,1,1,E13_real,1
28313453,0.0015500287561895944,11664,1,442,534,0.12027027027027028,1,1,1,E13_real,1
28342883,0.0016579940822365065,8837,1,2340,1188,0.26756756756756755,1,1,1,E13_real,1
28363979,0.1833648393194707,83,1,97,23,0.0051813471502590676,0,1,1,E13_real,1
28845598,0.0008991700466404032,15456,1,417,681,0.1534820824881677,1,1,1,E13_real,1
29500667,0.0006279885045132361,76688,1,819,1142,0.2575552548488949,1,1,1,E13_real,1
29510629,0.091064453125,1310,1,373,64,0.014433919711321606,0,1,1,E13_real,1
29646177,2.476214149308458e-05,96595,1,2512,10072,2.2715381145692377,1,1,1,E13_real,1
30062603,0.004637336504161712,1170,1,390,290,0.06543321299638989,1,1,1,E13_real,1
31102741,1.6470310226545848e-05,5996,1,60441,60578,13.6806684733514,1,1,1,E13_real,1
31162918,0.003748475842097241,1202,1,1574,648,0.14637451999096454,1,1,1,E13_real,1
32025215,0.0,30489,1,0,343,0.0775141242937853,1,1,1,E13_real,1
32130104,0.0001690047631237376,28476,1,2285,3677,0.8309604519774011,1,1,1,E13_real,1
32204918,0.00135611874883305,3558,1,552,638,0.14418079096045197,1,1,1,E13_real,1
33950570,0.003410218253968254,6711,1,1540,672,0.1520361990950226,1,1,0,E13_real,1
34355343,0.0007330820713899405,80516,1,347,688,0.15569133288074224,1,1,1,E13_real,1
34897604,0.006051975792096832,3029,1,68,106,0.02399275690357628,1,1,1,E13_real,1
35737313,0.001419730568947175,2815,1,1117,887,0.20090600226500566,1,0,1,E13_real,1
36381609,0.0020501461023659157,3074,1,348,412,0.09336052571946522,1,1,1,E13_real,1
36727238,0.01668388158470615,2185,1,953,239,0.05418272500566765,1,1,1,E13_real,1
37539436,0.00015971131678305323,102305,1,478,1730,0.39246823956442833,1,1,1,E13_real,1
37733715,0.015799733251256796,4256,1,462,171,0.03880190605854323,0,1,1,E13_real,1
37889070,0.0014160403601126907,9350,1,478,581,0.13183571590651236,1,0,1,E13_real,1
37922072,0.005211423598750049,6982,1,527,318,0.07215793056501021,1,1,1,E13_real,1
38002859,1.0238736795086348e-06,2223,1,121,10871,2.467317294598275,1,1,1,E13_real,1
38223194,0.003576673193307227,5569,1,643,424,0.09625425652667423,1,0,1,E13_real,1
38730407,0.003142571366782007,2157,1,930,544,0.12355212355212356,1,1,1,E13_real,1
38972677,0.02050443339100346,8882,1,1517,272,0.061790095411176735,1,1,1,E13_real,1
39721490,0.006658249634110339,3044,1,1060,399,0.0907024323709934,1,1,1,E13_real,1
39748948,0.0009282787888866236,87555,1,815,937,0.21300295521709478,1,1,1,E13_real,1
41780152,0.00844436104334772,1330,1,405,219,0.04988610478359909,1,0,1,E13_real,1
41785738,0.01577408433364112,1562,1,205,114,0.025968109339407745,0,0,1,E13_real,1
42676920,0.0053870529651425985,11217,1,1190,470,0.10718358038768529,1,0,1,E13_real,1
42754744,0.0005477678948821963,25794,1,3350,2473,0.5639680729760548,1,1,1,E13_real,1
43069058,0.00565,1493,1,904,400,0.09124087591240876,1,1,1,E13_real,1
