id,ff_ratio,no_tweets,profile_has_name,no_friends,no_followers,following_rate,belongs_to_list,location,has_bio,dataset,bot
3610511,1.9674696798127388e-05,48028,1,379,4389,0.8494290690923166,0,1,1,E13_real,0
5656162,0.0019321338002656683,3225,1,400,455,0.08846976472875752,1,1,1,E13_real,0
5682702,0.0009123965167921212,4319,1,68,273,0.053092182030338386,1,1,1,E13_real,0
6067292,0.0013409260738488494,77245,1,1301,985,0.1921201482348352,1,0,1,E13_real,0
6015122,0.03951521272566595,2435,1,313,89,0.017352310391889256,1,1,0,E13_real,0
6140012,0.0010026348734969576,33586,1,1653,1284,0.2505365853658537,1,1,1,E13_real,0
6134312,0.0037341868617588782,1659,1,98,162,0.031609756097560976,1,1,1,E13_real,0
6684602,0.000850213144209257,24901,1,2374,1671,0.3274544385655497,0,0,1,E13_real,0
7046912,2.1696599041267945e-06,33726,1,1521,26477,5.2038128930817615,1,1,1,E13_real,0
8072492,0.0019857744229931774,3605,1,342,415,0.08230860769535897,1,1,1,E13_real,0
8291932,0.0007548729524071166,41522,1,1830,1557,0.3094812164579606,1,1,1,E13_real,0
8858022,0.0008485688779597722,14037,1,1038,1106,0.22093487814622453,1,1,1,E13_real,0
8927532,0.015773448410063867,2482,1,689,209,0.04177493503897661,1,1,1,E13_real,0
9351052,0.013826027652055305,538,1,223,127,0.025502008032128515,1,0,1,E13_real,0
9564632,1.1900801317486128e-05,45648,1,1518,11294,2.272891929965788,1,1,1,E13_real,0
9939012,0.0020918516984973173,24667,1,1455,834,0.16831483350151366,1,1,1,E13_real,0
9993142,0.002229555965165948,5552,1,808,602,0.1215424994952554,1,1,1,E13_real,0
10492262,0.0233,1262,1,233,100,0.020259319286871958,1,1,1,E13_real,0
11176152,0.026546938775510204,3222,1,813,175,0.03561253561253561,1,1,0,E13_real,0
13260592,0.00032307939530650686,32202,1,1721,2308,0.4750926307122272,1,1,1,E13_real,0
14057516,0.009348412170442213,3821,1,1068,338,0.06986357999173212,1,0,1,E13_real,0
14112759,0.0379866151380903,422,1,403,103,0.021333885666942838,1,0,0,E13_real,0
14492555,0.04696745562130177,372,1,127,52,0.010869565217391304,0,1,1,E13_real,0
14865840,0.000770820902798687,9321,1,1257,1277,0.26855941114616194,1,1,1,E13_real,0
14958182,0.0037535445589994922,2700,1,229,247,0.05204382638010956,1,1,1,E13_real,0
15016610,0.0043057460752934,9542,1,452,324,0.0683400126555579,1,1,1,E13_real,0
15391421,4.824243066943237e-05,33134,1,2200,6753,1.4352816153028694,1,1,1,E13_real,0
15836275,0.04315120940498176,1511,1,958,149,0.031892123287671235,1,1,1,E13_real,0
